Date,Open,High,Low,Close,Volume
6/1/2023 16:00:00,177.7,180.12,176.93,180.09,68901809
6/2/2023 16:00:00,181.03,181.78,179.26,180.95,61996913
6/5/2023 16:00:00,182.63,184.95,178.04,179.58,121946497
6/6/2023 16:00:00,179.97,180.12,177.43,179.21,64848374
6/7/2023 16:00:00,178.44,181.21,177.32,177.82,61944615
6/8/2023 16:00:00,177.9,180.84,177.46,180.57,50214881
6/9/2023 16:00:00,181.5,182.23,180.63,180.96,48899973
6/12/2023 16:00:00,181.27,183.89,180.97,183.79,54754995
6/13/2023 16:00:00,182.8,184.15,182.44,183.31,54929129
6/14/2023 16:00:00,183.37,184.39,182.02,183.95,57462882
6/15/2023 16:00:00,183.96,186.52,183.78,186.01,65433166
6/16/2023 16:00:00,186.73,186.99,184.27,184.92,101256225
6/20/2023 16:00:00,184.41,186.1,184.41,185.01,49799092
6/21/2023 16:00:00,184.9,185.41,182.59,183.96,49515697
6/22/2023 16:00:00,183.74,187.05,183.67,187,51245327
6/23/2023 16:00:00,185.55,187.56,185.01,186.68,53116996
6/26/2023 16:00:00,186.83,188.05,185.23,185.27,48088661
6/27/2023 16:00:00,185.89,188.39,185.67,188.06,50730846
6/28/2023 16:00:00,187.93,189.9,187.6,189.25,51216801
6/29/2023 16:00:00,189.08,190.07,188.94,189.59,46347308